"Activity Date","Process Date","Settle Date","Instrument","Description","Trans Code","Quantity","Price","Amount"
"10/23/2024","10/23/2024","10/24/2024","VOO","Vanguard S&P 500 ETF
CUSIP: 922908363","Buy","0.2","$529.66","($105.93)"
"10/23/2024","10/23/2024","10/24/2024","LULU","Lululemon
CUSIP: 550021109
Recurring","Buy","0.102481","$292.74","($30.00)"
"10/21/2024","10/21/2024","10/22/2024","VOO","Vanguard S&P 500 ETF
CUSIP: 922908363
Recurring","Buy","0.373182","$535.93","($200.00)"
"10/21/2024","10/21/2024","10/22/2024","","ACH Deposit","ACH","","","$200.00"
"10/17/2024","10/17/2024","10/18/2024","TLT","iShares 20+ Year Treasury Bond ETF
CUSIP: 464287432","Buy","1","$93.76","($93.76)"
"10/17/2024","10/17/2024","10/18/2024","QQQM","Invesco Exchange-Traded Fund Trust II Invesco NASDAQ 100 ETF
CUSIP: 46138G649
Recurring","Buy","0.983431","$203.37","($200.00)"
"10/17/2024","10/17/2024","10/18/2024","","ACH Deposit","ACH","","","$200.00"
"10/16/2024","10/16/2024","10/17/2024","LULU","Lululemon
CUSIP: 550021109
Recurring","Buy","0.102588","$292.43","($30.00)"
"10/14/2024","10/14/2024","10/15/2024","VOO","Vanguard S&P 500 ETF
CUSIP: 922908363
Recurring","Buy","0.372815","$536.46","($200.00)"
"10/14/2024","10/14/2024","10/16/2024","","ACH Deposit","ACH","","","$200.00"
"10/10/2024","10/10/2024","10/11/2024","QQQM","Invesco Exchange-Traded Fund Trust II Invesco NASDAQ 100 ETF
CUSIP: 46138G649
Recurring","Buy","0.984979","$203.05","($200.00)"
"10/10/2024","10/10/2024","10/11/2024","","ACH Deposit","ACH","","","$200.00"
"10/9/2024","10/9/2024","10/10/2024","LULU","Lululemon
CUSIP: 550021109
Recurring","Buy","0.1089","$275.48","($30.00)"
"10/7/2024","10/7/2024","10/8/2024","VOO","Vanguard S&P 500 ETF
CUSIP: 922908363","Buy","0.2","$521.94","($104.39)"
"10/7/2024","10/7/2024","10/8/2024","VOO","Vanguard S&P 500 ETF
CUSIP: 922908363
Recurring","Buy","0.381402","$524.38","($200.00)"
"10/7/2024","10/7/2024","10/8/2024","","ACH Deposit","ACH","","","$200.00"
"10/7/2024","10/7/2024","10/8/2024","VOO","Vanguard S&P 500 ETF
CUSIP: 922908363","Buy","0.38","$525.13","($199.55)"
"10/7/2024","10/7/2024","10/8/2024","","ACH Deposit","ACH","","","$1,000.00"
"10/7/2024","10/7/2024","10/8/2024","TLT","iShares 20+ Year Treasury Bond ETF
CUSIP: 464287432","Buy","1","$95.02","($95.03)"
"10/4/2024","10/4/2024","10/4/2024","TLT","Cash Div: R/D 2024-10-01 P/D 2024-10-04 - 8.998668 shares at 0.315755","CDIV","","","$2.84"
"10/4/2024","10/4/2024","10/7/2024","VOO","Vanguard S&P 500 ETF
CUSIP: 922908363","Buy","0.5","$522.50","($261.25)"
"10/3/2024","10/3/2024","10/3/2024","NVDA","Cash Div: R/D 2024-09-12 P/D 2024-10-03 - 30 shares at 0.01","CDIV","","","$0.30"
"10/3/2024","10/3/2024","10/4/2024","QQQM","Invesco Exchange-Traded Fund Trust II Invesco NASDAQ 100 ETF
CUSIP: 46138G649
Recurring","Buy","1.010844","$197.85","($200.00)"
